Name,level,ingredient,berry,ing% min,ing% max,berry% min,berry% max,m min,m max,density,Pokemon sum of densities,Level sum of densities
Gastly,2,1,5,0.03926911444565582,0.11780734333696745,0.7068440600218047,0.863920517804428,1.6712935108071116,2.199070408956726,0.002259036144578313,0.7223268072289156,0.002259036144578313
Gastly,3,1,5,0.03926911444565582,0.11780734333696745,0.7068440600218047,0.863920517804428,1.6712935108071116,2.199070408956726,0.0018825301204819277,0.7223268072289156,0.0018825301204819277
Gastly,4,1,5,0.03926911444565582,0.11780734333696745,0.7068440600218047,0.863920517804428,1.6712935108071116,2.199070408956726,0.0009412650602409639,0.7223268072289156,0.0009412650602409639
Gastly,5,1,5,0.03926911444565582,0.11780734333696745,0.7068440600218047,0.863920517804428,1.6712935108071116,2.199070408956726,0.0007530120481927711,0.7223268072289156,0.0007530120481927711
Gastly,6,1,5,0.03926911444565582,0.11780734333696745,0.7068440600218047,0.863920517804428,1.6712935108071116,2.199070408956726,0.00037650602409638556,0.7223268072289156,0.00037650602409638556
Butterfree,14,2,16,0.16121016819164316,0.26868361365273863,0.8329192023234897,0.8866559250540375,2.226849789953898,2.587960566703179,0.0964074579354252,0.2980900409276944,0.0964074579354252
Butterfree,13,2,16,0.16121016819164316,0.26868361365273863,0.8329192023234897,0.8866559250540375,2.226849789953898,2.587960566703179,0.071168713051387,0.2980900409276944,0.071168713051387
Butterfree,12,2,16,0.16121016819164316,0.26868361365273863,0.8329192023234897,0.8866559250540375,2.226849789953898,2.587960566703179,0.03979081400636653,0.2980900409276944,0.03979081400636653
Butterfree,11,2,16,0.16121016819164316,0.26868361365273863,0.8329192023234897,0.8866559250540375,2.226849789953898,2.587960566703179,0.017507958162801273,0.2980900409276944,0.017507958162801273
Butterfree,1,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.01455206912232833,0.2980900409276944,0.01455206912232833
Butterfree,2,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.01273306048203729,0.2980900409276944,0.01273306048203729
Butterfree,3,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.010914051841746248,0.2980900409276944,0.010914051841746248
Butterfree,4,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.008640291041382447,0.2980900409276944,0.008640291041382447
Butterfree,5,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.007730786721236926,0.2980900409276944,0.007730786721236926
Butterfree,6,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.0068212824010914054,0.2980900409276944,0.0068212824010914054
Butterfree,7,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.005457025920873124,0.2980900409276944,0.005457025920873124
Butterfree,8,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.0036380172805820826,0.2980900409276944,0.0036380172805820826
Butterfree,9,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.0020463847203274215,0.2980900409276944,0.0020463847203274215
Butterfree,10,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.0006821282401091405,0.2980900409276944,0.0006821282401091405
